Feature,Importance
NASDAQ_Momentum,0.07145916004233352
S&P500_Momentum,0.06987204742387283
US_10Y_TREASURY_Momentum,0.06277407744151656
VIX,0.05658221777955052
VIX_Momentum,0.03750783450112163
S&P500,0.03463856084305809
NASDAQ,0.03446378865045531
USD_KRW_Momentum,0.03292537087038516
DXY_Momentum,0.032280395499561354
GOLD_Momentum,0.028483192905275928
WTI_OIL,0.027892262613489614
VIX_MA5,0.026712601828014375
US_Yield_Curve_Momentum,0.025037222522234205
US_3M_TREASURY_Momentum,0.024921301400569203
WTI_OIL_Momentum,0.02485218617903023
DXY_MA60,0.019237761800513103
S&P500_MA5,0.018356966364865283
VIX_MA20,0.018186522528869348
USD_KRW,0.0179494109621386
WTI_OIL_MA5,0.01664676981816647
