Date,Actual_Price,Predicted_Price
2025-01-06,718.2899618011361,717.5892569046991
2025-01-07,719.6300380416069,717.9821495448341
2025-01-08,723.5199974264397,719.1363459988715
2025-01-09,717.8900307089207,723.166436395637
2025-01-10,708.2100276479832,717.7628868083048
2025-01-13,718.0399872897106,708.0589008403622
2025-01-14,711.6099715078562,717.8648892909223
2025-01-15,724.2399774395308,711.3591415015835
2025-01-16,724.689974168432,724.1016365785181
2025-01-17,727.6599966995636,724.4315242186422
2025-01-20,726.0700021412667,727.7722196585237
2025-01-21,732.3099657342464,726.2255453828766
2025-01-22,724.0099945684815,731.8526861760365
2025-01-23,728.7399864870531,723.9105821214616
2025-01-24,728.739990234375,728.5183348554274
2025-01-27,728.739990234375,728.570414965041
2025-01-28,728.739990234375,728.1455646296527
2025-01-29,728.739990234375,728.5767566631257
2025-01-30,728.289990288089,728.8602218802553
2025-01-31,703.800007189282,728.5747441205895
2025-02-03,719.9200175588849,703.9694647759607
2025-02-04,730.9800119349457,719.865829764698
2025-02-05,740.3200389393023,731.3118080813438
2025-02-06,742.8999961726804,740.3775482946367
2025-02-07,749.6699497063528,743.0668725545402
2025-02-10,749.5900435686453,749.7649806966583
2025-02-11,745.179981493904,750.2865732025311
2025-02-12,749.2800510599554,745.8026188097792
2025-02-13,756.3199642645195,749.7481613914424
2025-02-14,768.4799365267536,756.9406713164353
2025-02-17,773.6499881384079,768.5002262682538
2025-02-18,778.2700071719883,773.8840946867422
2025-02-19,768.2700024616497,779.2751657237532
2025-02-20,774.6500084520085,769.3181173924822
2025-02-21,773.330038136366,775.2160098552267
2025-02-24,769.4299985917824,773.7079883897386
2025-02-25,771.4099297311186,769.8318320271865
2025-02-26,770.8499873839064,771.1901905732375
2025-02-27,743.9600311212707,770.9336896333407
2025-02-28,743.9600219726562,744.012258583658
2025-03-03,737.900042974783,744.0708806547482
2025-03-04,746.9499919786176,738.2685958268994
2025-03-05,734.919984400367,746.8480130149146
2025-03-06,727.7000137911309,735.1159648897374
2025-03-07,725.8199965161621,726.9594827706569
2025-03-10,721.5000127165695,725.0439691965948
2025-03-11,729.4900247454643,720.9857491850853
2025-03-12,722.800004846009,728.8262528955383
2025-03-13,734.2600350351859,722.5283112094985
2025-03-14,743.5099824728968,733.7866442045197
2025-03-17,745.5399782363966,743.4956511710188
2025-03-18,738.3499669763551,745.6338303347584
2025-03-19,725.150021754067,738.1985403140789
2025-03-20,719.4099720303857,725.2054354149877
2025-03-21,720.2199796672285,719.2167979521146
2025-03-24,711.2600293251744,720.2749191261828
2025-03-25,716.4799474765314,711.4088988992153
2025-03-26,707.4899956483569,716.0051803336828
2025-03-27,693.760003183459,706.9516941472684
2025-03-28,672.849971019139,693.2947660762147
2025-03-31,691.4500253842562,671.6202364682322
2025-04-01,684.8499786940301,690.314452994684
2025-04-02,683.4900084861147,684.4559786340978
2025-04-03,687.3900332298945,682.8838320037903
2025-04-04,651.2999837420502,685.7282050255453
2025-04-07,658.4500259370616,649.401665127094
2025-04-08,643.3900017837186,656.076490796313
2025-04-09,681.7899754397804,641.8401001195889
2025-04-10,695.5900227712627,681.6445758020054
2025-04-11,708.9799935754054,694.2842316689603
2025-04-14,711.9199888230069,708.3133103745058
2025-04-15,699.1100013088653,710.535921687926
2025-04-16,711.7499745068926,698.057771072381
2025-04-17,717.7699945271015,710.1142730265856
2025-04-18,715.4500140774762,716.3893878280942
2025-04-21,716.1199517066343,714.3487698367098
2025-04-22,726.0799832284829,714.9134869705449
2025-04-23,726.0800170898438,725.6295823563414
2025-04-24,729.689986619087,726.0704959867144
2025-04-25,719.4099739392368,729.7873395815768
2025-04-28,726.459988624134,719.3722814699177
2025-04-29,717.2399829984497,726.5756340181033
2025-04-30,717.239990234375,717.361402605311
2025-05-01,721.8599874534993,716.9831859695114
2025-05-02,721.8599853515625,721.5221005401036
2025-05-05,721.8599853515625,721.8247899134149
2025-05-06,722.8100040243007,721.1186437876459
2025-05-07,729.5900291762227,721.5061817791393
2025-05-08,722.5200047858889,728.630791615702
2025-05-09,725.3999850622495,722.1090880616684
2025-05-12,731.8799851929507,725.0827065241829
2025-05-13,739.049954748305,732.0217810878676
2025-05-14,733.2299945123668,739.7405283217813
2025-05-15,725.0700229612994,733.7719963918789
2025-05-16,713.7499937958455,724.982794328047
2025-05-19,715.5499865114689,713.2949195057154
2025-05-20,723.619984352008,714.9590706181007
2025-05-21,717.6699718495365,722.8876288225001
2025-05-22,715.9799703547469,717.21475577604
2025-05-23,725.2699753039051,714.8513353739108
2025-05-26,727.1099518878036,724.3412345427496
2025-05-27,728.7899834795098,726.2136887546149
2025-05-28,736.28994136252,727.9380905473772
2025-05-29,734.3499840212644,735.8465947122568
2025-05-30,740.2900055937062,734.0723820003768
2025-06-02,740.2899780273438,739.5179719057342
2025-06-03,750.2100095915885,740.0473361856239
2025-06-04,756.2299584399516,749.9156565323683
2025-06-05,756.22998046875,755.8479262999026
2025-06-06,764.2100264872424,755.6592431060853
2025-06-09,771.2000144202611,763.4117044898812
2025-06-10,786.2900007729113,770.9984004942453
2025-06-11,789.4500010048432,786.1952138939159
2025-06-12,768.8599697892969,789.4645992221704
2025-06-13,777.2600059434772,769.4211904633412
2025-06-16,775.6500084483996,777.3159743602155
2025-06-17,779.7299363228376,776.1457276083092
2025-06-18,782.5100536329555,780.1244647547137
2025-06-19,791.5300507431384,783.5527211295557
2025-06-20,784.7899621101969,792.4978565586207
2025-06-23,800.9299582254025,785.8671617277869
2025-06-24,798.2100069962326,802.099506316219
