Date,Actual_Price,Predicted_Price
2025-01-06,19489.679612262407,19980.45328350272
2025-01-07,19478.880752660334,19593.517207893543
2025-01-08,19478.880859375,19589.350710630883
2025-01-09,19161.631249126047,19592.269544511335
2025-01-10,19088.099889972364,19283.920167647302
2025-01-13,19044.39107497374,19216.714221730363
2025-01-14,19511.230431199074,19179.991478877142
2025-01-15,19338.289018836804,19627.49622791307
2025-01-16,19630.19814354647,19469.488506689668
2025-01-17,19630.19921875,19747.005415201653
2025-01-20,19756.780021684244,19772.828441903926
2025-01-21,20009.340625843965,19894.73464623862
2025-01-22,20053.680170339998,20113.379438396078
2025-01-23,19954.30068227183,20171.031110069714
2025-01-24,19341.830452173483,20079.282055538613
2025-01-27,19733.58903540182,19451.969989201054
2025-01-28,19632.32020411687,19828.912547356915
2025-01-29,19681.750949540175,19744.175237299874
2025-01-30,19627.439064383507,19811.48809814453
2025-01-31,19391.96117738227,19756.1737697972
2025-02-03,19654.020086741075,19519.14384018164
2025-02-04,19692.328971070703,19800.254237776157
2025-02-05,19791.991211549845,19820.743497840595
2025-02-06,19523.400918925297,19904.320749170613
2025-02-07,19714.270388297504,19633.666559184436
2025-02-10,19643.859814267606,19831.030745163094
2025-02-11,19649.950216082856,19780.061447242275
2025-02-12,19945.639843443874,19775.795351007953
2025-02-13,20026.770319433883,20068.72255789675
2025-02-14,20026.76953125,20145.591670315247
2025-02-17,20041.260909444652,20115.718422316946
2025-02-18,20056.24900624389,20137.361487635644
2025-02-19,19962.35969811678,20186.778320372105
2025-02-20,19524.009359560907,20080.166358096525
2025-02-21,19286.929405360715,19629.64310875209
2025-02-24,19026.39107390307,19383.8056867579
2025-02-25,19075.25959258154,19127.943542223424
2025-02-26,18544.420210274868,19152.908273603534
2025-02-27,18847.279107198352,18630.16064628004
2025-02-28,18350.189126615995,18941.230263600126
2025-03-03,18285.160158995655,18460.733237484004
2025-03-04,18552.73017257452,18393.662117135245
2025-03-05,18069.25985798845,18644.26877419604
2025-03-06,18196.22007177421,18161.221496006707
2025-03-07,17468.320509325713,18258.486399088288
2025-03-10,17436.099553084932,17537.747063543648
2025-03-11,17648.45000700862,17516.44992525573
2025-03-12,17303.010282686446,17726.441379188094
2025-03-13,17754.088895035442,17381.969136932865
2025-03-14,17808.66045338288,17841.40408903407
2025-03-17,17504.118686150992,17900.49081560597
2025-03-18,17750.788723465288,17587.11370118847
2025-03-19,17691.630402348004,17831.889137936756
2025-03-20,17784.051752986852,17781.50196383125
2025-03-21,18188.589532134123,17869.37538955128
2025-03-24,18271.859273476526,18287.505357345566
2025-03-25,17899.02000699658,18366.904057482257
2025-03-26,17804.029098868137,17979.13680283539
2025-03-27,17322.990293493494,17879.686692279065
2025-03-28,17299.2895251608,17411.494634087663
2025-03-31,17449.890030104667,17370.98682008218
2025-04-01,17601.049643535167,17546.7962325532
2025-04-02,16550.609842780512,17696.611600968987
2025-04-03,15587.790046023205,16636.36128226109
2025-04-04,15603.25963211956,15633.150788145489
2025-04-07,15267.909788039397,15641.318320520455
2025-04-08,17124.970837906003,15318.961488243658
2025-04-09,16387.310119110043,17196.388985523954
2025-04-10,16724.460688834544,16511.431324746227
2025-04-11,16831.481355984695,16765.561291960068
2025-04-14,16823.169674861245,16919.44004926551
2025-04-15,16307.160397899337,16874.018819972174
2025-04-16,16286.450125369476,16374.425232377835
2025-04-17,16286.4501953125,16347.927671126672
