Date,Actual_Price,Predicted_Price
2025-01-06,2492.1002397187985,2492.703071113676
2025-01-07,2521.050093926955,2495.863822953368
2025-01-08,2521.8999549791915,2525.133084531233
2025-01-09,2515.7800484464096,2526.775282229937
2025-01-10,2489.559991788701,2521.449421128491
2025-01-13,2497.4000611386145,2495.050464282511
2025-01-14,2496.8099835030444,2503.1773260241607
2025-01-15,2527.4899036407005,2500.4133241855307
2025-01-16,2523.5500370434165,2532.22432162959
2025-01-17,2520.05003511392,2527.2824541873706
2025-01-20,2518.0300692882156,2526.4680801919894
2025-01-21,2547.0600187973178,2523.8695864903857
2025-01-22,2515.489946357935,2549.9989245304023
2025-01-23,2536.7999358971138,2520.397359095834
2025-01-24,2536.800048828125,2542.327501212654
2025-01-27,2536.800048828125,2541.809170247172
2025-01-28,2536.800048828125,2540.7740203668654
2025-01-29,2536.800048828125,2542.1947431649023
2025-01-30,2517.370046670767,2543.8818892888376
2025-01-31,2453.9499222003506,2523.712601831765
2025-02-03,2481.6900377297134,2460.0668293808703
2025-02-04,2509.2699673745083,2488.245766771026
2025-02-05,2536.750038729224,2515.075501506217
2025-02-06,2521.9199485331774,2541.745414406061
2025-02-07,2521.270096551045,2527.580301796086
2025-02-10,2539.05017692392,2527.2775889814366
2025-02-11,2548.389794749819,2546.9947502233554
2025-02-12,2583.169794707501,2555.639882658288
2025-02-13,2591.0500514865853,2590.0477137810085
2025-02-14,2610.4200491442753,2598.093685306725
2025-02-17,2626.8101045233198,2615.3008790581953
2025-02-18,2671.51989762258,2632.8984427415417
2025-02-19,2654.0600608216773,2680.7718916043523
2025-02-20,2654.5802014751825,2662.9708275187295
2025-02-21,2645.2699430956272,2661.8843909935094
2025-02-24,2630.290072082542,2652.2504025879316
2025-02-25,2641.0901277191006,2637.6827254594536
2025-02-26,2621.7499444581335,2646.408406944829
2025-02-27,2532.7801050543785,2628.014803260565
2025-02-28,2532.780029296875,2539.071665555297
2025-03-03,2528.919993605072,2539.307171663444
2025-03-04,2558.1300255144015,2534.644851364661
2025-03-05,2576.159914874006,2561.9591756985756
2025-03-06,2563.479969667067,2581.2421462995408
2025-03-07,2570.389995732112,2565.725460397778
2025-03-10,2537.600033046052,2573.8876124171948
2025-03-11,2574.8200724620256,2542.087464314536
2025-03-12,2573.63987455811,2578.8133899079985
2025-03-13,2566.360099867452,2578.491962778702
2025-03-14,2610.6899389702594,2571.474711451039
2025-03-17,2612.340021856944,2616.936719000805
2025-03-18,2628.6202520268853,2618.526350956672
2025-03-19,2637.1001555456314,2634.4541780164
2025-03-20,2643.129967805522,2644.3079003142193
2025-03-21,2632.0700619200943,2649.4914617936593
2025-03-24,2615.810024370847,2639.6080116417725
2025-03-25,2643.9398281068425,2622.366884005314
2025-03-26,2607.1498261009983,2649.0455778969335
2025-03-27,2557.980033224798,2612.1189165876713
2025-03-28,2481.1200524560118,2563.1891846664366
2025-03-31,2521.3898478836054,2484.1618422609754
2025-04-01,2505.8601823353965,2525.5997193855583
2025-04-02,2486.6999416088947,2511.088635141874
2025-04-03,2465.4198719626875,2490.9511647224135
2025-04-04,2328.199916104786,2466.1073562141974
2025-04-07,2334.2298517393065,2328.922395762551
2025-04-08,2293.699882901885,2334.7113735516323
2025-04-09,2445.0600510800723,2295.64130659739
2025-04-10,2432.7199292539735,2451.5873244943796
2025-04-11,2455.8900359605905,2433.445267754403
2025-04-14,2477.409868531686,2461.488728321274
2025-04-15,2447.42990218247,2480.965983957256
2025-04-16,2470.4098314208677,2453.7301189832506
2025-04-17,2483.419853530795,2475.369516054372
2025-04-18,2488.4198550058063,2488.5758716296405
2025-04-21,2486.63991692767,2494.588904940523
2025-04-22,2525.56004134845,2492.1460905080603
2025-04-23,2522.3300267352315,2534.271224347991
2025-04-24,2546.3000990352593,2531.767383078579
2025-04-25,2548.8601272835513,2554.8866624571383
2025-04-28,2565.419812661945,2557.445327083493
2025-04-29,2556.610110796755,2574.4676623807754
2025-04-30,2556.610107421875,2565.3610165136342
2025-05-01,2559.790095074277,2564.558552694507
2025-05-02,2559.7900390625,2567.537511503906
2025-05-05,2559.7900390625,2568.4105478052516
2025-05-06,2573.800120386295,2565.665716791409
2025-05-07,2579.4799168710597,2579.2448920806055
2025-05-08,2577.269992516085,2587.5690222223056
2025-05-09,2607.3301529861637,2587.1178078575176
2025-05-12,2608.4198059146293,2616.151402824791
2025-05-13,2640.570067572873,2618.2129145883955
2025-05-14,2621.360117283257,2651.3320982536243
2025-05-15,2626.8702519862854,2630.8385685418034
2025-05-16,2603.4199235247797,2634.701305376366
2025-05-19,2601.8000404498307,2610.6352917866316
2025-05-20,2625.580229227984,2608.9070260904846
2025-05-21,2593.6699176627444,2632.37954969611
2025-05-22,2592.090117875836,2601.55827483139
2025-05-23,2644.3999770532537,2598.3346935017325
2025-05-26,2637.2199060468993,2651.905380877841
2025-05-27,2670.149821022904,2644.3152381800173
2025-05-28,2720.6400250982842,2678.6114486281876
2025-05-29,2697.669859915739,2730.254199144314
2025-05-30,2698.9700993888546,2706.6422079587355
2025-06-02,2698.969970703125,2706.8664917935093
2025-06-03,2770.8401205677656,2708.405063437327
2025-06-04,2812.050208931614,2780.6027266547317
2025-06-05,2812.050048828125,2821.423540051619
2025-06-06,2855.7701010010496,2820.7175614908338
2025-06-09,2871.8500939729856,2864.801741912146
2025-06-10,2907.0400361642824,2882.7433708020835
2025-06-11,2920.029975989368,2918.0019877571613
2025-06-12,2894.6201600970526,2931.165578918124
2025-06-13,2946.659806548734,2906.8105949759483
