Date,Actual_Price,Predicted_Price
2025-01-06,5909.029694288445,6025.827865846222
2025-01-07,5918.249823910941,5957.490461003734
2025-01-08,5918.25,5970.243292808533
2025-01-09,5827.040207326412,5971.110365062952
2025-01-10,5836.220365662128,5880.881376436679
2025-01-13,5842.9103705389425,5893.126890689484
2025-01-14,5949.910270606633,5900.685161200818
2025-01-15,5937.339860589011,6004.380373520777
2025-01-16,5996.66010160977,5994.62380110193
2025-01-17,5996.66015625,6052.3489927640185
2025-01-20,6049.240077075083,6056.7961218743585
2025-01-21,6086.370271972148,6109.200388313271
2025-01-22,6118.7101401368855,6139.027768805623
2025-01-23,6101.240296969481,6175.152938627871
2025-01-24,6012.279718453065,6158.526495049009
2025-01-27,6067.700128363038,6066.529008533747
2025-01-28,6039.310002468119,6120.454547207919
2025-01-29,6071.169645789021,6095.127151112887
2025-01-30,6040.5296714529395,6129.509143956006
2025-01-31,5994.569855475129,6098.467286346422
2025-02-03,6037.880096118024,6052.975484168914
2025-02-04,6061.479746532161,6101.267268390628
2025-02-05,6083.570118008007,6120.17626002949
2025-02-06,6025.990412978688,6139.320960788347
2025-02-07,6066.440030587604,6081.094452487072
2025-02-10,6068.500269817479,6123.754531754996
2025-02-11,6051.970178753138,6129.375202000141
2025-02-12,6115.069768301328,6110.364464424783
2025-02-13,6114.629888935218,6173.583039361285
2025-02-14,6114.6298828125,6171.693438574788
2025-02-17,6129.580046045361,6165.764397729537
2025-02-18,6144.14956297609,6182.694870934356
2025-02-19,6117.51985810406,6204.712415078306
2025-02-20,6013.12971491387,6175.328143886116
2025-02-21,5983.249918695074,6067.760957212304
2025-02-24,5955.249948784709,6037.778649151325
2025-02-25,5956.0600199997425,6010.088566958904
2025-02-26,5861.569839633972,6005.110210541228
2025-02-27,5954.49985709216,5911.244914576237
2025-02-28,5849.720320940018,6006.6051970124245
2025-03-03,5778.15001692652,5902.434312367521
2025-03-04,5842.630015195406,5830.688131052419
2025-03-05,5738.520134725783,5892.377788783284
2025-03-06,5770.199991000234,5787.421828221821
2025-03-07,5614.560188949981,5812.537380674039
2025-03-10,5572.069727568654,5657.107950082398
2025-03-11,5599.299780651811,5616.43723676668
2025-03-12,5521.520033712266,5642.734619723633
2025-03-13,5638.939915395284,5564.03027259605
2025-03-14,5675.119844618603,5682.731324015011
2025-03-17,5614.66024891939,5718.3427530726185
2025-03-18,5675.289807271212,5655.056943622883
2025-03-19,5662.890280266292,5716.057425877312
2025-03-20,5667.560264821746,5704.463592789136
2025-03-21,5767.569568833511,5708.682023402012
2025-03-24,5776.6502693496295,5810.958909618494
2025-03-25,5712.2003010499175,5819.458606860542
2025-03-26,5693.310035512666,5752.5660719129955
2025-03-27,5580.939810778946,5733.784740287578
2025-03-28,5611.849774083821,5622.9030663805315
2025-03-31,5633.0696221885155,5652.679569621105
2025-04-01,5670.970088586677,5678.581702630094
2025-04-02,5396.520017616684,5715.935153233993
2025-04-03,5074.080089317635,5438.352241371875
2025-04-04,5062.249884346966,5106.696886545746
2025-04-07,4982.770047262311,5096.9505724310875
2025-04-08,5456.9001582288765,5017.648069620947
2025-04-09,5268.049751973216,5496.99688304431
2025-04-10,5363.360180706717,5314.178951543989
2025-04-11,5405.970165024803,5394.515989081585
2025-04-14,5396.629996620555,5444.067040350521
2025-04-15,5275.700224134722,5426.342005626881
2025-04-16,5282.699991127709,5307.890451287851
2025-04-17,5282.7001953125,5313.294561015209
2025-04-18,5158.200170449854,5310.507301071193
2025-04-21,5287.759529203409,5185.687695638044
2025-04-22,5375.8600149014965,5315.806562305894
2025-04-23,5484.770171204233,5408.98039882828
2025-04-24,5525.2097475180635,5516.883151949558
2025-04-25,5528.750238840585,5557.042822529329
2025-04-28,5560.829980075359,5559.501278102398
2025-04-29,5569.060013940325,5594.473711028695
2025-04-30,5604.140336818236,5601.6355036443565
2025-05-01,5686.669616197294,5635.809784791607
2025-05-02,5650.380032349494,5717.61826776783
2025-05-05,5606.910204538435,5681.908711141907
2025-05-06,5631.279866253957,5634.6866795257665
2025-05-07,5663.939914716175,5656.797273539705
2025-05-08,5659.910044486489,5690.996325651649
2025-05-09,5844.190032196697,5689.482865112834
2025-05-12,5886.549584009335,5874.564568192407
2025-05-13,5892.579782780609,5918.043510822579
2025-05-14,5916.930517245317,5927.042991544353
2025-05-15,5958.379541975213,5950.530373317422
2025-05-16,5963.59983512864,5991.092483699671
2025-05-19,5940.4601200367615,5995.012655486469
2025-05-20,5844.609711837431,5973.402763476712
2025-05-21,5842.009660242824,5876.5821883697645
2025-05-22,5802.8200197767,5875.566155260429
2025-05-23,5802.81982421875,5832.749772707757
2025-05-26,5921.540039383399,5834.06202251208
2025-05-27,5888.5496819346445,5950.100857493933
2025-05-28,5912.169685820118,5916.282527105068
2025-05-29,5911.689962897683,5942.365050311433
2025-05-30,5935.939644203638,5939.3054268412525
2025-06-02,5970.369860385545,5962.053212125029
2025-06-03,5970.8099623599555,6000.238308946835
2025-06-04,5939.29973396135,6000.8911369676935
2025-06-05,6000.360132510192,5964.87630869681
2025-06-06,6005.879822857969,6024.210065713094
2025-06-09,6038.810310031171,6029.144894932746
2025-06-10,6022.240168747463,6064.219742612622
2025-06-11,6045.259921683697,6047.509124251548
2025-06-12,5976.970144671155,6069.822438460775
2025-06-13,6033.109619641036,6004.935534472752
2025-06-16,5982.720361667743,6064.328296641761
2025-06-17,5980.8701848700875,6012.141682269925
2025-06-18,5980.8701171875,6012.678083245526
2025-06-19,5967.839781014714,6015.457260877476
